,School,Games Played,Wins,Losses,W-L%,Simple Rating System,Strength of Schedule,Conf. Wins,Conf. Losses,Home Wins,Home Losses,Away Wins,Away Losses,Total Pts Scored,Total Pts Suffered,Minutes Played,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Year
258,Texas-Rio Grande Valley,28,3,25,.107,-17.34,-2.61,1,17,3,9,0,15,1554,1902,,544,1417,.384,136,481,.283,330,549,.601,355,845,337,187,36,478,520,1997
259,The Citadel,27,13,14,.481,-8.78,-6.13,6,8,9,6,4,7,1909,1857,,681,1561,.436,146,440,.332,401,609,.658,333,1002,358,150,148,326,317,1997
260,Toledo,27,13,14,.481,-0.03,-0.07,6,12,10,4,3,10,1940,1906,,655,1409,.465,167,448,.373,463,678,.683,342,978,355,146,59,466,523,1997
261,Towson,28,9,19,.321,-7.54,-3.15,5,13,6,7,2,11,2085,2210,,719,1534,.469,153,437,.350,494,708,.698,337,988,392,216,58,511,581,1997
262,Troy,27,16,11,.593,-9.07,-7.03,10,6,7,4,7,7,2137,2180,,758,1816,.417,239,692,.345,382,570,.670,379,1073,386,215,80,422,452,1997
263,Tulane,31,20,11,.645,7.98,3.01,11,3,12,2,8,4,2297,2093,1240,823,1726,.477,166,495,.335,485,763,.636,387,1117,502,323,173,543,570,1997
264,Tulsa NCAA,34,24,10,.706,15.00,5.53,12,4,12,1,8,5,2463,2141,1375,844,1925,.438,222,650,.342,553,839,.659,516,1393,516,270,127,555,642,1997
265,UAB,32,18,14,.563,3.08,2.08,7,7,10,4,4,7,2142,2110,1290,750,1844,.407,189,544,.347,453,699,.648,441,1206,342,232,103,468,660,1997
266,UC Irvine,26,1,25,.038,-20.05,1.19,1,15,1,11,0,14,1514,2066,,552,1328,.416,56,247,.227,354,574,.617,304,836,279,177,70,552,498,1997
267,UC Santa Barbara,27,12,15,.444,-4.97,-0.89,7,9,11,3,1,11,1864,1935,,652,1436,.454,133,349,.381,427,598,.714,326,958,369,161,68,451,522,1997
268,UCF,26,7,19,.269,-18.28,-8.78,4,12,5,8,2,9,1790,1989,,632,1558,.406,178,536,.332,348,521,.668,344,954,310,162,72,465,557,1997
269,UCLA NCAA,32,24,8,.750,16.62,10.43,15,3,13,3,8,3,2558,2360,1300,932,1791,.520,125,364,.343,569,848,.671,386,1207,533,259,123,574,566,1997
270,UNC Asheville,28,18,10,.643,-7.10,-5.39,11,3,7,1,9,8,1931,1937,,690,1480,.466,114,351,.325,437,669,.653,306,995,404,250,117,485,474,1997
271,UNC Greensboro,30,10,20,.333,-9.75,-4.15,6,8,5,6,3,9,1896,2064,,663,1592,.416,188,511,.368,382,575,.664,373,1016,354,187,74,445,570,1997
272,UNC Wilmington,30,16,14,.533,-1.86,0.28,10,6,10,2,4,9,1767,1830,,667,1539,.433,140,381,.367,293,449,.653,290,901,348,191,42,358,510,1997
273,UT Arlington,27,12,15,.444,-15.28,-8.16,8,8,9,3,3,11,1772,1921,,637,1540,.414,180,530,.340,318,529,.601,384,976,333,176,56,421,469,1997
274,Utah NCAA,33,29,4,.879,17.58,5.46,15,1,13,1,10,1,2456,2035,,886,1785,.496,166,463,.359,518,714,.725,357,1250,574,205,108,464,596,1997
275,Utah State,29,20,9,.690,4.29,-0.94,12,4,14,3,5,5,1990,1781,1170,695,1451,.479,106,318,.333,494,724,.682,368,1085,360,138,26,411,466,1997
276,UTEP,26,13,13,.500,2.45,5.32,6,10,11,4,1,9,1746,1734,1045,575,1368,.420,147,429,.343,449,618,.727,300,910,321,141,73,346,517,1997
277,UTSA,26,9,17,.346,-14.47,-8.26,4,12,7,5,1,11,1946,2069,,683,1532,.446,163,442,.369,417,627,.665,320,913,404,221,73,445,560,1997
278,Valparaiso NCAA,31,24,7,.774,3.71,-4.98,13,3,11,2,9,3,2356,2048,1255,838,1782,.470,187,481,.389,493,732,.673,443,1184,481,247,86,472,674,1997
279,Vanderbilt NCAA,31,19,12,.613,11.55,7.78,9,7,13,3,5,6,2156,2030,1250,708,1593,.444,177,514,.344,563,797,.706,329,987,458,301,60,485,520,1997
280,Vermont,27,14,13,.519,-8.88,-6.54,7,11,10,4,4,8,1853,1908,,638,1633,.391,169,543,.311,408,633,.645,374,1040,355,198,116,388,511,1997
281,Villanova NCAA,34,24,10,.706,16.62,9.44,12,6,11,3,8,5,2552,2309,1360,892,1931,.462,184,562,.327,584,842,.694,513,1379,516,287,207,555,638,1997
282,Virginia NCAA,31,18,13,.581,13.84,11.13,7,9,11,3,4,8,2099,2015,1245,752,1763,.427,205,566,.362,390,579,.674,398,1148,387,168,133,388,556,1997
283,Virginia Commonwealth,27,14,13,.519,2.01,-0.14,9,7,9,5,4,7,1910,1852,1090,689,1507,.457,160,437,.366,372,571,.651,345,1016,434,186,91,402,463,1997
284,VMI,28,12,16,.429,-11.50,-4.86,7,7,7,5,4,10,2170,2187,,772,1847,.418,198,577,.343,428,635,.674,384,1031,351,280,77,414,610,1997
285,Virginia Tech,31,15,16,.484,6.37,5.07,7,9,10,4,4,8,1934,1867,,689,1580,.436,123,354,.347,433,651,.665,348,999,418,230,70,416,533,1997
286,Wagner,27,10,17,.370,-11.19,-6.78,7,11,6,7,3,9,1952,2071,,683,1712,.399,152,454,.335,434,598,.726,378,1030,390,222,94,420,555,1997
287,Wake Forest NCAA,31,24,7,.774,20.94,10.27,11,5,12,3,10,2,2138,1807,1245,733,1575,.465,202,557,.363,470,681,.690,343,1189,403,129,182,454,457,1997
288,Washington,28,17,11,.607,10.83,8.27,10,8,12,3,5,8,2106,2024,1120,739,1530,.483,134,367,.365,494,708,.698,364,1039,473,206,106,576,522,1997
289,Washington State,30,13,17,.433,8.23,7.89,5,13,9,5,3,10,2244,2223,,803,1749,.459,193,486,.397,445,659,.675,378,1065,445,203,105,486,628,1997
290,Weber State,28,15,13,.536,-3.62,-2.43,9,7,10,3,3,9,2191,2223,,773,1679,.460,204,546,.374,441,639,.690,344,1007,474,207,57,445,627,1997
291,West Virginia,31,21,10,.677,14.45,7.35,11,7,12,4,7,5,2502,2282,,940,1982,.474,144,435,.331,478,739,.647,478,1231,529,309,108,480,544,1997
292,Western Carolina,27,14,13,.519,-11.08,-4.46,7,7,10,1,4,11,1990,2011,,693,1527,.454,113,315,.359,491,671,.732,340,983,377,198,65,479,505,1997
293,Western Illinois,29,19,10,.655,-1.30,-5.71,11,5,8,4,8,3,2191,2014,,820,1657,.495,186,473,.393,365,585,.624,366,1074,539,208,91,458,507,1997
294,Western Kentucky,27,12,15,.444,-4.67,-1.13,9,9,7,5,5,9,1900,1967,,679,1592,.427,200,583,.343,342,433,.790,312,847,375,191,58,390,557,1997
295,Western Michigan,28,14,14,.500,-0.40,0.81,9,9,9,5,5,8,1874,1908,1130,671,1464,.458,126,323,.390,406,559,.726,277,894,347,201,70,0,526,1997
296,Wichita State,27,14,13,.519,5.89,1.67,8,10,10,5,4,7,1815,1700,1090,624,1477,.422,191,556,.344,376,554,.679,367,1008,393,176,43,402,590,1997
297,William & Mary,28,12,16,.429,-3.62,-1.18,8,8,8,4,4,10,1831,1878,1120,643,1603,.401,168,530,.317,377,575,.656,379,1006,321,173,90,0,524,1997
